time,development,timeCode,countryName,countryCode,agriculturePercentGDP,electricPowerConsumption,gdpGrowth,gdpPerCapita,gdpPerCapitaPPP,industryPercentGDP,manufacturingPercentGDP,individualsUsingInternetPercent,accessToElectricityPercent,governmentExpenditureEducationPercent,mobileCellularSubscriptionsPerHundred,birthLifeExpectancyMale,birthLifeExpectancyFemale,consumerPriceIndex
1990,1,YR1990,Guinea-Bissau,GNB,56.9360486,..,6.099999986,614.4618831,1573.87189,17.41795028,7.864307205,0,0.01,..,0,46.876,51.28,4.580728215
1990,1,YR1990,Guyana,GUY,33.58442644,..,-3.038084903,1480.410049,2843.143276,21.94063218,9.096712126,0,68.21060181,..,0,60.01,66.893,..
1990,1,YR1990,Haiti,HTI,..,58.31206023,..,..,..,..,..,0,28.00139809,..,0,53.102,56.11,4.258096372
1990,,YR1990,Heavily indebted poor countries (HIPC),HPC,34.18132083,..,-1.112619069,616.3507036,1482.499223,20.64650939,11.47640763,0,10.51412904,..,0,48.10811027,51.27104625,..
1990,,YR1990,High income,HIC,..,7102.903107,3.108971647,28540.82108,28447.45647,..,..,0.252175628,99.45072778,..,1.048133617,71.99449754,78.78770014,..
1990,1,YR1990,Honduras,HND,19.96490468,367.8868483,0.096880396,1543.71916,3171.671357,23.45856186,14.54095956,0,54.74451828,..,0,64.471,69.018,9.01774964
1990,1,YR1990,"Hong Kong SAR, China",HKG,..,4177.929705,3.830522186,18250.90083,26974.16489,..,..,0,100,2.466089964,2.316231941,74.6,80.3,56.96821516
1990,3,YR1990,Hungary,HUN,..,3426.551101,..,..,..,..,..,0,100,..,0.025487463,65.14,73.7,9.22940529
1990,3,YR1990,Iceland,ISL,..,16148.27372,..,..,..,..,..,0,100,4.224150181,3.924828362,75.49,80.71,39.95462052
1990,1,YR1990,India,IND,27.20563208,273.0466135,5.533454563,536.162786,1754.85733,28.59178444,17.24354003,0,43.29156113,..,0,57.608,58.261,22.87406337
1990,1,YR1990,Indonesia,IDN,21.5487236,162.5028472,7.242131639,1707.597918,4625.37726,39.38494007,19.89302505,0,61.70114517,..,0.00997372,61.856,64.734,12.6526737
1990,1,YR1990,"Iran, Islamic Rep.",IRN,12.49086056,943.2260076,13.83378001,4147.360648,11392.56363,32.79981982,14.51243465,0,95.57950592,3.773910046,0,61.618,66.261,2.923102385
1990,1,YR1990,Iraq,IRQ,8.248862346,1305.168783,57.81782903,4079.344476,11521.73054,72.25233118,3.681081419,0,93.48020935,..,0,62.802,69.628,0.030567551
1990,3,YR1990,Ireland,IRL,..,3767.529299,8.466527935,23714.73766,21453.2404,..,..,0,100,4.595059872,0.700425887,72.053,77.703,60.95479951
1990,,YR1990,Isle of Man,IMN,..,..,4.186976816,25443.80595,..,..,..,..,100,..,..,..,..,..
1990,1,YR1990,Israel,ISR,..,4176.180258,7.315199189,21141.29699,20520.4105,..,..,0.110773866,100,5.425059795,0.338630922,74.9,78.4,32.52588047
1990,3,YR1990,Italy,ITA,3.165080735,4144.907442,1.985774903,30839.27833,31141.90286,27.9871498,19.89476933,0.017544562,100,..,0.465628234,73.8,80.3,55.83899072
1990,1,YR1990,Jamaica,JAM,..,866.2501516,4.200535115,4266.581178,7285.747238,..,..,0,70.334586,4.779160023,0,69.875,74.264,3.698463007
1990,3,YR1990,Japan,JPN,..,6805.540041,4.892713066,38074.46354,30582.42797,..,..,0.020293683,100,..,0.697164268,75.91,81.91,94.52646119
1990,1,YR1990,Jordan,JOR,6.88157811,935.2403624,0.97375649,2440.394625,6283.255604,23.41547499,12.1695276,0,96.8,..,0.040414741,68.555,71.355,47.66469807
1990,2,YR1990,Kazakhstan,KAZ,..,5905.00367,..,5890.276043,13050.4865,..,..,0,97.72080994,..,0,63.8,73.1,..
1990,1,YR1990,Kenya,KEN,25.31413336,125.2002617,4.192050974,930.0336436,2380.495384,16.32579272,10.0532694,0,3.318389893,..,0,55.2,60.011,8.669019857
1990,,YR1990,Kiribati,KIR,11.13333333,..,-0.869565217,1691.136403,1961.120713,4.541176471,0.733333333,0,31.55973244,..,0,57.624,63.214,..
1990,1,YR1990,"Korea, Dem. People’s Rep.",PRK,..,1237.418478,..,..,..,..,..,0,0.01,..,0,65.997,72.859,..
1990,,YR1990,"Korea, Rep.",KOR,7.601954962,2373.214406,9.811229684,8464.93705,11632.59856,35.77172487,24.60185836,0.023265092,..,3.082449913,0.186391342,67.5,75.9,44.55091684
1990,,YR1990,Kosovo,XKX,..,..,..,..,..,..,..,..,87.69469452,..,..,65.7,69.9,..
1990,1,YR1990,Kuwait,KWT,..,8206.266387,..,..,..,..,..,0,100,..,0.987562005,71.331,73.328,55.73630468
1990,2,YR1990,Kyrgyz Republic,KGZ,32.67576664,2330.570231,5.702796635,1095.932628,3474.667969,34.12256918,26.41875467,0,99.17418671,..,0,64.2,72.6,..
1990,,YR1990,Lao PDR,LAO,46.46886347,..,6.704578687,462.0016272,1708.034226,14.3813264,4.176091037,0,15.30261421,..,0,52.295,54.872,3.670105804
1990,,YR1990,Latin America & Caribbean,LCN,8.091114884,1167.938146,0.386508854,6456.488548,9780.744366,33.37070098,..,0,85.56233307,..,0.028208622,64.62254454,71.11568728,..
1990,,YR1990,Latin America & Caribbean (excluding high income),LAC,8.261247574,1149.696703,0.582199087,6389.977329,9567.729329,32.94539223,..,0,84.91490668,..,0.019930676,64.00785569,70.42477381,..
1990,3,YR1990,Latvia,LVA,..,3396.728161,..,..,..,..,..,0,100,..,0,64.2,74.6,..
1990,,YR1990,Least developed countries: UN classification,LDC,31.85157081,71.73233652,0.099339613,493.7459863,1305.509846,21.07916262,10.44743485,0,9.086144186,..,0,50.42099531,53.06282152,..
1990,1,YR1990,Lebanon,LBN,..,517.9399604,26.53316009,4230.912244,7857.72417,..,..,0,97.90869904,..,0,68.707,71.811,..
1990,1,YR1990,Lesotho,LSO,12.16164968,..,6.04547333,681.7851879,1379.399899,21.35361124,9.52392864,0,0.01,..,0,57.27,60.973,37.77450568
1990,1,YR1990,Liberia,LBR,54.37044745,..,-51.03086495,409.5669181,875.1895802,16.80541103,..,0,0.01,..,0,45.12,49.389,..
1990,1,YR1990,Libya,LBY,..,1576.861518,..,..,..,..,..,0,99.83592987,..,0,66.966,70.377,57.9164305
1990,,YR1990,Liechtenstein,LIE,..,..,2.252870971,..,..,..,..,0,100,..,0,..,..,..
1990,3,YR1990,Lithuania,LTU,..,4023.43207,..,..,..,..,..,0,100,..,0,66.39,76.17,..
1990,,YR1990,Low & middle income,LMY,19.78466307,868.6660586,2.24186126,1955.658112,4166.961328,36.83153988,..,0,65.11219872,..,0.007348242,61.2452569,64.95423317,..
1990,,YR1990,Low income,LIC,34.80703589,..,0.311656062,556.762547,1445.041276,20.03372764,12.53040431,0,8.736738936,..,0,49.3861923,52.76122486,..
1990,,YR1990,Lower middle income,LMC,25.36421579,410.2192976,3.658461276,944.1355458,2732.930278,31.9228416,18.03126103,0,47.76458244,..,0.001433654,58.19596377,60.71324971,..
1990,3,YR1990,Luxembourg,LUX,..,13667.67055,5.319932182,65921.91017,57618.0207,..,..,0,100,..,0.215824888,71.487,78.71,64.67338429
1990,,YR1990,"Macao SAR, China",MAC,..,..,7.978313377,21532.21942,40365.34557,..,..,0,..,..,0.648959833,74.909,79.528,53.55637727
1990,2,YR1990,"Macedonia, FYR",MKD,7.526703292,2667.530963,..,3853.921913,9633.199073,39.34229007,31.54257809,0,94.33944702,..,0,69.233,73.158,..
1990,1,YR1990,Madagascar,MDG,26.07247348,..,3.130029428,492.3989088,1653.1589,11.7010609,10.17692141,0,9.571782112,..,0,49.832,52.243,8.180954913
1990,1,YR1990,Malawi,MWI,38.48260597,..,5.692294494,330.5911202,744.1970806,24.70596086,16.64939904,0,1.120719671,3.270539999,0,44.611,48.51,2.095405657
1990,1,YR1990,Malaysia,MYS,15.21653328,1156.814983,9.00852714,4534.829685,10551.65896,42.19816763,24.2246874,0,93.95503998,..,0.480199903,68.947,72.627,56.77287528
1990,1,YR1990,Maldives,MDV,..,..,..,..,..,..,..,0,73.0881424,..,0,61.776,60.961,..
1990,1,YR1990,Mali,MLI,37.41767939,..,-2.502395103,481.2548519,1271.794077,16.33472534,..,0,0.01,..,0,45.026,46.473,52.87238013
1990,3,YR1990,Malta,MLT,3.151768405,2823.502838,6.291390958,12026.4033,16176.49077,50.77844148,21.88382646,0,100,3.831419945,0,74.283,77.671,59.29746661
1990,1,YR1990,Marshall Islands,MHL,..,..,2.676246464,2630.067994,2907.880972,..,..,0,52.44190979,..,0,..,..,..
1990,1,YR1990,Mauritania,MRT,26.5546478,..,-1.771304534,1018.27052,2806.73383,25.82949151,9.216561982,0,3.886186838,..,0,57.094,59.698,29.61365756
1990,1,YR1990,Mauritius,MUS,10.88742394,670.5862908,7.186736771,3707.85678,7386.824387,27.78397566,20.64655172,0,99.23442078,3.157079935,0.208359378,65.6,73.4,29.82976901
1990,,YR1990,Mexico,MEX,7.180545488,1165.399223,5.068306313,7498.684192,13070.44455,26.00198092,19.02948323,0,94.26457214,2.31208992,0.074891743,67.905,73.831,11.75431898
1990,1,YR1990,"Micronesia, Fed. Sts.",FSM,..,..,3.740926857,2361.386504,2721.056867,..,..,0,28.03698158,..,0,65.661,66.761,..
1990,,YR1990,Middle East & North Africa,MEA,9.664590632,1176.688622,13.14524178,4951.991997,11859.98878,43.4615099,11.49590246,0.001947688,86.4994852,..,0.040575475,63.82011802,67.81896132,..
1990,,YR1990,Middle East & North Africa (excluding high income),MNA,13.96219377,725.4171513,12.99076956,2833.854416,8102.149261,36.74551768,13.92516704,0,85.93966431,..,0.003405745,63.07910812,67.27899305,..
1990,,YR1990,Middle income,MIC,19.51332503,900.4149806,2.274186841,2084.296714,4422.810043,37.13398765,..,0,70.20957451,..,0.0079971,62.29580712,66.08513307,..
1990,2,YR1990,Moldova,MDA,..,3235.38961,..,..,..,..,..,0,94.91943359,..,0,64.092,71.008,..
1990,,YR1990,Monaco,MCO,..,..,2.643454173,..,..,..,..,0,100,..,0,..,..,..
1990,,YR1990,Mongolia,MNG,12.47383664,1489.369982,-3.184460178,1761.217386,5122.531607,41.21422017,20.36867779,0,68.11283875,..,0,57.798,62.861,..
1990,2,YR1990,Montenegro,MNE,..,..,..,..,..,..,..,..,98.40816498,..,..,71.298,77.746,..
1990,1,YR1990,Morocco,MAR,15.09517541,358.1314078,3.411812226,1720.780487,3912.005724,27.5981379,19.28359759,0,48.11626434,4.510489941,0.003633567,63.118,66.318,56.8991152
1990,1,YR1990,Mozambique,MOZ,34.10351508,41.36583027,0.999992833,172.9108663,378.5342735,16.91502502,9.341282412,0,0.01,..,0,41.262,44.509,..
